id,hari,tanggal,bulan,tahun,judul,kota,deteksi_kendaraan,model_kendaraan,kondisi
6629159,Senin,20,3,2023.0,"Jenazah Syabda Perkasa Tiba di Sragen, Isak Tangis Keluarga Pecah",Sragen,truk,sedan,tewas
6629077,Senin,20,3,2023.0,Polisi Ungkap Detik-detik Laka Maut Tewaskan Syabda Perkasa di Tol Pemalang,Pemalang,"mobil, truk",sedan,tewas
6629053,Senin,20,3,2023.0,Menyisir Tol Pemalang TKP Kecelakaan Maut Syabda Perkasa Via Google Maps,Pemalang,"mobil, truk",,tewas
6628962,Senin,20,3,2023.0,"Sedan Maut Tewaskan Syabda di Tol Pemalang Dievakuasi, Kondisinya Rusak Parah",Pemalang,"mobil, truk",sedan,tewas
6628907,Senin,20,3,2023.0,Penting! Ini Pelajaran dari Kecelakaan Maut yang Tewaskan Syabda Perkasa,Jakarta,"mobil, motor, truk",sedan,selamat
6628893,Senin,20,3,2023.0,Syabda Perkasa Minta Ayah Gantian Nyetir Sebelum Kecelakaan di Tol Pemalang,Pemalang,"mobil, truk",sedan,tewas
6628809,Senin,20,3,2023.0,Syabda dan Ibunya Akan Dimakamkan Satu Liang Lahad dengan Nenek di Sragen,Sragen,truk,,tewas
6628594,Senin,20,3,2023.0,Bukti Dahsyatnya Kecelakaan di Tol Pemalang yang Tewaskan Syabda Perkasa,Surabaya,"mobil, motor, truk",sedan,"tewas, cedera"
6628540,Senin,20,3,2023.0,"Camry yang Ditumpangi Syabda Perkasa Melaju Kencang, Segini Batas Kecepatan di Tol",Jakarta,"mobil, motor, truk, bus",,tewas
6628468,Senin,20,3,2023.0,"Syabda Perkasa Meninggal dalam Kecelakaan: Fakta, Kronologi-Profil",Solo,"mobil, motor, truk",sedan,"tewas, selamat"
6628404,Senin,20,3,2023.0,Pilu Syabda Perkasa Meninggal Kecelakaan Maut Hendak Hadiri Pemakaman Nenek,Surabaya,"mobil, truk","sedan, pikap",tewas
6628379,Senin,20,3,2023.0,Detik-detik Kecelakaan yang Tewaskan Syabda dan Ibu di Tol Pemalang,Jakarta,"mobil, motor, truk, bus",sedan,tewas
6628353,Senin,20,3,2023.0,Penampakan Mobil Camry Syabda Ringsek Usai Kecelakaan Maut di Pemalang,Pemalang,"mobil, motor, truk, bus",sedan,tewas
6628298,Senin,20,3,2023.0,Kronologi Kecelakaan Tewaskan Syabda Perkasa dan Ibu di Tol Pemalang,Semarang,"mobil, truk",sedan,tewas
6628286,Senin,20,3,2023.0,Ringsek! Penampakan Mobil Syabda Perkasa Usai Kecelakaan di Tol Pemalang,Semarang,"mobil, motor, truk",sedan,cedera
6628227,Senin,20,3,2023.0,5 Fakta Kecelakaan Beruntun di Bundaran Senayan: Kronologi-Penyebab,Jakarta,"mobil, truk, bus","minibus, sedan",
