@relation Data_Gempa_fix

@attribute tweet_id numeric
@attribute user_id numeric
@attribute user_friends numeric
@attribute user_follower numeric
@attribute 'user_statuses count' numeric
@attribute tweet_type {original,retweet,reply,quote}

@data
1600740596938727420,1570634774565494780,1667,1586,21979,retweet
1600740608515407870,1517151191763152900,61,10,1607,retweet
1600740637065691140,233775211,188,295,9951,original
1600740658049740800,1192523689301950460,537,640,618,retweet
1600740674348806140,1596661256903045120,22,0,128,original
1600740683819921410,1591940752917073920,6,0,5,original
1600740706636554240,1311277659486220290,562,244,3197,retweet
1600740721321201660,23786106,98,997085,789253,original
1600740763343605760,1589961124560048130,18,20,945,retweet
1600740772361342980,287522931,304,459,868,reply
1600740779353600000,4924532360,977,823,166534,retweet
1600740779823353860,349322203,5341,6931,52517,retweet
1600740785473073150,2276880895,331,147764,1084805,reply
1600740800236687360,1600739797437333500,5,0,26,original
1600740804716208130,1600739797437333500,5,0,26,original
1600740805781569540,1600739797437333500,5,0,26,original
1600740806922735620,1600739797437333500,5,0,26,original
1600740815856234500,1600739797437333500,5,0,26,original
1600740819623120900,1261647734,186,24,63,original
1600740819946078210,1600739797437333500,5,0,26,original
1600740837453107200,230125690,353,804,10254,retweet
1600740840091324420,704725700,868,158715,131780,retweet
1600740869984120830,1590562009393029120,13,0,77,reply
1600740884051787780,3166258585,9,1,6,reply
1600740886224125950,1462334512487038980,299,286,931,quote
1600740886325100540,1430865045466927100,2945,2553,46761,retweet
1600740898366554110,287515641,759,342,22946,original
1600740913810067460,2276880895,331,147764,1084805,reply
1600740914867351550,717179785,41,0,1065,retweet
1600740922592894980,919341410829996030,886,214,1240,retweet
1600740929060511740,2276880895,331,147764,1084805,reply
1600740931065741310,180758593,86,14,8109,reply
1600740939525685250,1566782172836798460,8,6,279,quote
1600740939768954880,1490254491458818050,37,3,12481,retweet
1600740955958616060,1431845095930613760,66,4,150,retweet
1600740968356974590,366987179,58,18986331,5061,original
1600740981732933630,1598894094016995330,2,0,11,original
1600740991215943680,366987179,58,18986331,5061,reply
1600741001441656830,1539278011257606140,35,19,81,original
1600741001491992580,1309523523707179010,161,303,16870,retweet
1600741002687696900,108543358,30,7599757,142914,original
1600741003027439620,1227045686,61,3,483,retweet
1600741006600966140,1557381524286504960,74,91,3765,reply
1600741012527276030,1486724666555133950,15,24,8854,original
1600741018080804860,1372419493012545540,227,153,11168,reply
1600741040729694210,728522873267048450,283,63,29370,retweet
1600741045620600830,1426966530,170,254,13841,retweet
1600741046249353220,995932400222814210,1870,1761,94929,retweet
1600741052297596930,1415106189076144130,472,75,97,retweet
1600741056957808640,1588802766952022020,17,18,1208,retweet
1600741071579123710,1197733144595550210,652,537,5385,retweet
1600741075596980220,1197253531771654140,374,44,3892,original
1600741079741263870,1588058906991136770,145,10,141,retweet
1600741087349420030,1566893427446272000,6,4,260,quote
1600741090390253570,536821740,277,133,29023,retweet
1600741098913419260,118646322,55,1149949,1432408,original
1600741098917625860,47596019,677,4485061,1665996,original
